"fecha","Temperatura","Radiacion Solar","Velocidad del viento","Humedad relativa","Direccion del viento"
"2024-02-01",13.092515286379783,218.16528677637098,9.277890979326688,68.22573432222784,2189.734868537116
"2024-02-02",12.88163842539542,225.17605004825157,7.035214301429334,67.6314599640909,4554.716105129355
"2024-02-03",13.141722339440383,228.3605055921051,3689.491729384568,66.21284336013623,-28064.744418941755
"2024-02-04",12.992553514476056,225.68857829911875,8.516768810916465,67.26087989534975,-13438.092883249978
"2024-02-05",12.57072697377664,215.18150219211807,3.9136009807317524,73.26142704951299,-12856.376005913413
"2024-02-06",12.95785989790719,233.43117276897402,2.846995391279964,77.35733639758949,-1553.146668410391
"2024-02-07",12.719659650551773,218.16219772148858,3.573932524847251,79.88080305369118,-18691.20906183843
"2024-02-08",11.85360809300873,96.05300060443614,11.511585568899756,80.92940154889551,-1865.185634460394
"2024-02-09",13.30824303148398,77.04057558187691,140.55162604731777,85.11456740883024,217.25679692884358
"2024-02-10",13.613163591442975,198.68913296025255,15.086390426183108,73.88264268788468,14593.705583886473
"2024-02-11",12.45789911315547,60.275378726416584,8.693106905027822,85.28626610273447,22482.953439176137
"2024-02-12",15.286965272586992,89.3189733473172,9.581459489830227,92.61702735310853,5538.831881642963
"2024-02-13",16.885542804695454,178.493377946682,3.03252533308243,82.06049059560586,3425.9226718429063
"2024-02-14",17.303636363379482,222.50686871172604,12.612305126340326,56.76134682600747,-3914.98131189495
"2024-02-15",16.019731861244324,197.76314886430154,14.658769344742579,74.81790992786648,204.23293720023176
"2024-02-16",13.23043961931503,215.15793226053688,3.7853283022497006,78.25441829010606,-118.46465060768664
"2024-02-17",13.350802947324908,280.00438733117124,4.464462946812973,71.30374078338006,179.6189115565575
"2024-02-18",14.186971299237715,277.3234139645298,10.865120853114524,63.23402569517268,108.65330738366573
"2024-02-19",14.446168300175827,281.71836039071536,29156.776063408764,62.08938765687032,-524.6053284530341
"2024-02-20",15.761086488950719,283.3575962935986,5.612791101403444,61.594068742908554,4612.263039131827
"2024-02-21",14.465896790400175,288.18653807430013,37438.98308159376,69.23486106381094,-218.75245835892653
"2024-02-22",14.285230886192442,229.8035953572446,7.540962458581452,83.38267533158096,213.14360875138885
"2024-02-23",11.854947175569539,230.55132399916613,9.458288965862327,69.7835887641606,255.572015919502
"2024-02-24",12.038781566393146,243.63827647973312,9.562603647224543,65.13686478432008,262.25861989859237
"2024-02-25",13.134641103394443,213.32563533677018,9.850719385743849,75.390295720026,236.43880926464576
"2024-02-26",12.624441906888201,232.31571166228557,14.461936580478831,71.03573157826986,261.7468235362776
"2024-02-27",9.768310050180302,265.21601290276203,6.335690502115375,58.86328584644373,2346.167734522282
"2024-02-28",9.677506702195544,265.7997319190336,4.645882048907293,60.48662199501058,-3831.3504770159684
"2024-02-29",11.005027789542273,264.09480959426617,6.032280806668616,74.9231196686672,-6134.336913991141
